Header: 0
Map Number: 75
Object Count: 112
Type,PositionX,PositionY,PositionZ,AngleX,AngleY,AngleZ,Scale
110,30.12515,195.9843,-9.945169,0,0,0,1
64,61.94852,186.5243,2.854996,0,0,225,1.579999
102,61.28651,183.7683,2.895001,0,0,97,1.52
102,61.39863,181.0815,2.895001,0,0,80,1.52
14,59.98935,185.6938,2.834997,0,0,100,1.659999
49,57.34117,189.5157,2.255,0,0,-262,1.44
98,57.84953,183.2458,2.813405,0,0,96,1.579999
98,58.54469,176.6287,2.813406,0,0,96,1.579999
129,50.97958,189.3692,4.173584,0,0,0,1.579999
79,59.67606,185.7044,9.060168,0,0,0,1.829999
110,56.75703,189.4013,2.843872,0,0,98,1
110,56.75703,189.4013,5.793872,0,0,98,1
102,59.64494,195.9178,2.895001,0,0,101,1.52
102,59.20161,198.9495,2.895,0,0,101,1.52
102,57.69122,202.1745,2.895,0,0,121,1.52
124,61.45028,195.843,4.935,0,0,60,0.7200003
124,60.96929,198.7054,4.935,0,0,60,0.7200003
14,59.78806,192.5647,2.834352,0,0,100,1.619999
29,60.95182,197.3928,2.835,0,0,-100,1
102,59.32879,198.0007,2.895001,0,0,101,1.52
102,59.80464,195.1604,2.895001,0,0,101,1.52
102,58.01627,201.4532,2.895,0,0,121,1.52
5,63.88768,202.6394,2.835,0,0,40,1.579999
79,59.4558,192.647,9.300959,0,0,0,1.829999
98,56.52044,195.4903,2.813405,0,0,96,1.579999
98,55.92655,202.0844,2.813407,0,0,96,1.579999
64,61.82484,192.4495,2.854999,0,0,135,1.539999
5,63.88768,202.6394,2.835,0,0,40,1.579999
129,50.51657,198.6706,9.518948,0,0,0,2.519999
98,58.16866,207.4426,2.813407,0,0,40,1.579999
132,55.53509,208.6649,3.335,0,0,0,1
129,58.82692,215.1955,9.418948,40,0,0,2.779998
129,52.4386,208.1665,9.008949,0,0,0,2.559999
102,76.23617,186.4303,1.695,0,0,139,1.5
121,72.98778,191.3921,2.395,0,0,110,1.879999
121,74.25412,187.5322,2.345,0,0,110,1.879999
121,75.19443,190.8186,1.695,0,0,110,1.879999
121,78.98318,185.4415,1.695,0,0,150,1.879999
121,75.95474,188.7845,1.695,0,0,110,1.879999
121,77.70432,183.7987,2.333039,0,0,150,1.879999
111,77.42701,187.8912,1.694999,1,0,134,0.7200003
103,74.73215,184.7814,6.945,0,0,52,1.24
14,77.30659,187.65,1.510849,0,0,143,1
132,77.23518,187.5826,5.184058,0,0,-60,0.8600001
5,69.32107,191.3958,2.987977,0,0,110,1.34
