x,y,layer1,layer2,alpha
0,0,7,255,0.00
1,0,7,255,0.00
2,0,7,255,0.00
3,0,7,255,0.00
4,0,7,255,0.00
5,0,3,255,0.00
6,0,3,255,0.00
7,0,3,255,0.00
8,0,3,255,0.00
9,0,3,255,0.00
10,0,3,255,0.00
11,0,3,255,0.00
12,0,3,255,0.00
13,0,3,255,0.00
14,0,3,255,0.00
15,0,3,255,0.00
16,0,3,255,0.00
17,0,3,255,0.00
18,0,3,255,0.00
19,0,3,255,0.00
20,0,3,255,0.00
21,0,3,255,0.00
22,0,7,255,0.00
23,0,7,255,0.00
24,0,7,255,0.00
25,0,7,255,0.00
26,0,7,255,0.00
27,0,7,255,0.00
28,0,7,255,0.00
29,0,7,255,0.00
30,0,7,255,0.00
31,0,7,255,0.00
32,0,7,255,0.00
33,0,7,255,0.00
34,0,7,255,0.00
35,0,7,255,0.00
36,0,7,255,0.00
37,0,7,255,0.00
38,0,7,255,0.00
39,0,7,255,0.00
40,0,7,255,0.00
41,0,7,255,0.00
42,0,7,255,0.00
43,0,7,255,0.00
44,0,7,255,0.00
45,0,7,255,0.00
46,0,7,255,0.00
47,0,7,255,0.00
48,0,7,255,0.00
49,0,7,255,0.00
50,0,7,255,0.00
51,0,7,255,0.00
52,0,7,255,0.00
53,0,7,255,0.00
54,0,7,255,0.00
55,0,7,255,0.00
56,0,7,255,0.00
57,0,7,255,0.00
58,0,7,255,0.00
59,0,7,255,0.00
60,0,7,255,0.00
61,0,7,255,0.00
62,0,7,255,0.00
63,0,7,255,0.00
64,0,7,255,0.00
65,0,7,255,0.00
66,0,7,255,0.00
67,0,7,255,0.00
68,0,7,255,0.00
69,0,7,255,0.00
70,0,7,255,0.00
71,0,7,255,0.00
72,0,7,255,0.00
73,0,7,255,0.00
74,0,7,255,0.00
75,0,7,255,0.00
76,0,7,255,0.00
77,0,7,255,0.00
78,0,7,255,0.00
79,0,7,255,0.00
80,0,7,255,0.00
81,0,7,255,0.00
82,0,7,255,0.00
83,0,7,255,0.00
84,0,7,255,0.00
85,0,7,255,0.00
86,0,7,255,0.00
87,0,7,255,0.00
88,0,7,255,0.00
89,0,7,255,0.00
90,0,7,255,0.00
91,0,7,255,0.00
92,0,7,255,0.00
93,0,7,255,0.00
94,0,7,255,0.00
95,0,7,255,0.00
96,0,7,255,0.00
97,0,7,255,0.00
98,0,7,255,0.00
99,0,7,255,0.00
100,0,7,255,0.00
101,0,7,255,0.00
102,0,7,255,0.00
103,0,7,255,0.00
104,0,7,255,0.00
105,0,7,255,0.00
106,0,7,255,0.00
107,0,7,255,0.00
108,0,7,255,0.00
109,0,7,255,0.00
110,0,7,255,0.00
111,0,7,255,0.00
112,0,7,255,0.00
113,0,7,255,0.00
114,0,7,255,0.00
115,0,7,255,0.00
116,0,7,255,0.00
117,0,7,255,0.00
118,0,7,255,0.00
119,0,7,255,0.00
120,0,7,255,0.00
121,0,7,255,0.00
122,0,7,255,0.00
123,0,7,255,0.00
124,0,7,255,0.00
125,0,7,255,0.00
126,0,7,255,0.00
127,0,7,255,0.00
128,0,7,255,0.00
129,0,7,255,0.00
130,0,7,255,0.00
131,0,7,255,0.00
132,0,7,255,0.00
133,0,7,255,0.00
134,0,7,255,0.00
135,0,7,255,0.00
136,0,7,255,0.00
137,0,7,255,0.00
138,0,7,255,0.00
139,0,7,255,0.00
140,0,7,255,0.00
141,0,7,255,0.00
142,0,7,255,0.00
143,0,7,255,0.00
144,0,7,255,0.00
145,0,7,255,0.00
146,0,7,255,0.00
147,0,7,255,0.00
148,0,7,255,0.00
149,0,7,255,0.00
150,0,7,255,0.00
151,0,7,255,0.00
152,0,7,255,0.00
153,0,7,255,0.00
154,0,7,255,0.00
155,0,7,255,0.00
156,0,7,255,0.00
157,0,7,255,0.00
158,0,7,255,0.00
159,0,7,255,0.00
160,0,7,255,0.00
161,0,7,255,0.00
162,0,7,255,0.00
163,0,7,255,0.00
164,0,7,255,0.00
165,0,7,255,0.00
166,0,7,255,0.00
167,0,7,255,0.00
168,0,7,255,0.00
169,0,7,255,0.00
170,0,7,255,0.00
171,0,7,255,0.00
172,0,7,255,0.00
173,0,7,255,0.00
174,0,7,255,0.00
175,0,7,255,0.00
176,0,7,255,0.00
177,0,7,255,0.00
178,0,7,255,0.00
179,0,7,255,0.00
180,0,7,255,0.00
181,0,7,255,0.00
182,0,7,255,0.00
183,0,7,255,0.00
184,0,7,255,0.00
185,0,7,255,0.00
186,0,7,255,0.00
187,0,7,255,0.00
188,0,7,255,0.00
189,0,7,255,0.00
190,0,7,255,0.00
191,0,7,255,0.00
192,0,7,255,0.00
193,0,7,255,0.00
194,0,7,255,0.00
195,0,7,255,0.00
196,0,7,255,0.00
197,0,7,255,0.00
198,0,7,255,0.00
199,0,7,255,0.00
200,0,7,255,0.00
201,0,7,255,0.00
202,0,7,255,0.00
203,0,7,255,0.00
204,0,7,255,0.00
205,0,7,255,0.00
206,0,7,255,0.00
207,0,7,255,0.00
208,0,7,255,0.00
209,0,7,255,0.00
210,0,7,255,0.00
211,0,7,255,0.00
212,0,7,255,0.00
213,0,7,255,0.00
214,0,7,255,0.00
215,0,7,255,0.00
216,0,7,255,0.00
217,0,7,255,0.00
218,0,7,255,0.00
219,0,7,255,0.00
220,0,7,255,0.00
221,0,7,255,0.00
222,0,7,255,0.00
223,0,7,255,0.00
224,0,7,255,0.00
225,0,7,255,0.00
226,0,7,255,0.00
227,0,7,255,0.00
228,0,7,255,0.00
229,0,7,255,0.00
230,0,7,255,0.00
231,0,7,255,0.00
232,0,7,255,0.00
233,0,7,255,0.00
234,0,7,255,0.00
235,0,7,255,0.00
236,0,7,255,0.00
237,0,7,255,0.00
238,0,7,255,0.00
239,0,7,255,0.00
240,0,7,255,0.00
241,0,7,9,0.00
242,0,7,9,0.40
243,0,7,9,0.40
244,0,11,255,0.00
245,0,11,255,0.00
246,0,11,255,0.00
247,0,11,255,0.00
248,0,7,255,0.00
249,0,7,255,0.00
250,0,7,255,0.00
251,0,7,255,0.00
252,0,7,255,0.00
253,0,7,255,0.00
254,0,7,255,0.00
255,0,7,255,0.00
0,1,7,255,0.00
1,1,7,255,0.00
2,1,7,255,0.00
3,1,7,255,0.00
4,1,7,255,0.00
5,1,3,255,0.00
6,1,3,255,0.00
7,1,3,255,0.00
8,1,3,255,0.00
9,1,3,255,0.00
10,1,3,255,0.00
11,1,3,255,0.00
12,1,3,255,0.00
13,1,3,255,0.00
14,1,3,255,0.00
15,1,3,255,0.00
16,1,3,255,0.00
17,1,3,255,0.00
18,1,3,255,0.00
19,1,3,255,0.00
20,1,3,255,0.00
21,1,3,255,0.00
22,1,7,255,0.00
23,1,7,255,0.00
24,1,7,255,0.00
25,1,7,255,0.00
26,1,7,255,0.00
27,1,7,255,0.00
28,1,7,255,0.00
29,1,7,255,0.00
30,1,7,255,0.00
31,1,7,255,0.00
32,1,7,255,0.00
33,1,7,255,0.00
34,1,7,255,0.00
35,1,7,255,0.00
36,1,7,255,0.00
37,1,7,255,0.00
38,1,7,255,0.00
39,1,7,255,0.00
40,1,7,255,0.00
41,1,7,255,0.00
42,1,7,255,0.00
43,1,7,255,0.00
44,1,7,255,0.00
45,1,7,255,0.00
46,1,7,255,0.00
47,1,7,255,0.00
48,1,7,255,0.00
49,1,7,255,0.00
50,1,7,255,0.00
51,1,7,255,0.00
52,1,7,255,0.00
53,1,7,255,0.00
54,1,7,255,0.00
55,1,7,255,0.00
56,1,7,255,0.00
57,1,7,255,0.00
58,1,7,255,0.00
59,1,7,255,0.00
60,1,7,255,0.00
61,1,7,255,0.00
62,1,7,255,0.00
63,1,7,255,0.00
64,1,7,255,0.00
65,1,7,255,0.00
66,1,7,255,0.00
67,1,7,255,0.00
68,1,7,255,0.00
69,1,7,255,0.00
70,1,7,255,0.00
71,1,7,255,0.00
72,1,7,255,0.00
73,1,7,255,0.00
74,1,7,255,0.00
75,1,7,255,0.00
76,1,7,255,0.00
77,1,7,255,0.00
78,1,7,255,0.00
79,1,7,255,0.00
80,1,7,255,0.00
81,1,7,255,0.00
82,1,7,255,0.00
83,1,7,255,0.00
84,1,7,255,0.00
85,1,7,255,0.00
86,1,7,255,0.00
87,1,7,255,0.00
88,1,7,255,0.00
89,1,7,255,0.00
90,1,7,255,0.00
91,1,7,255,0.00
92,1,7,255,0.00
93,1,7,255,0.00
94,1,7,255,0.00
95,1,7,255,0.00
96,1,7,255,0.00
97,1,7,255,0.00
98,1,7,255,0.00
99,1,7,255,0.00
100,1,7,255,0.00
101,1,7,255,0.00
102,1,7,255,0.00
103,1,7,255,0.00
104,1,7,255,0.00
105,1,7,255,0.00
106,1,7,255,0.00
107,1,7,255,0.00
108,1,7,255,0.00
109,1,7,255,0.00
110,1,7,255,0.00
111,1,7,255,0.00
112,1,7,255,0.00
113,1,7,255,0.00
114,1,7,255,0.00
115,1,7,255,0.00
116,1,7,255,0.00
117,1,7,255,0.00
118,1,7,255,0.00
119,1,7,255,0.00
120,1,7,255,0.00
121,1,7,255,0.00
122,1,7,255,0.00
123,1,7,255,0.00
124,1,7,255,0.00
125,1,7,255,0.00
126,1,7,255,0.00
127,1,7,255,0.00
128,1,7,255,0.00
129,1,7,255,0.00
130,1,7,255,0.00
131,1,7,255,0.00
132,1,7,255,0.00
133,1,7,255,0.00
134,1,7,255,0.00
135,1,7,255,0.00
136,1,7,255,0.00
137,1,7,255,0.00
138,1,7,255,0.00
139,1,7,255,0.00
140,1,7,255,0.00
141,1,7,255,0.00
142,1,7,255,0.00
143,1,7,255,0.00
144,1,7,255,0.00
145,1,7,255,0.00
146,1,7,255,0.00
147,1,7,255,0.00
148,1,7,255,0.00
149,1,7,255,0.00
150,1,7,255,0.00
151,1,7,255,0.00
152,1,7,255,0.00
153,1,7,255,0.00
154,1,7,255,0.00
155,1,7,255,0.00
156,1,7,255,0.00
157,1,7,255,0.00
158,1,7,255,0.00
159,1,7,255,0.00
160,1,7,255,0.00
161,1,7,255,0.00
162,1,7,255,0.00
163,1,7,255,0.00
164,1,7,255,0.00
165,1,7,255,0.00
166,1,7,255,0.00
167,1,7,255,0.00
168,1,7,255,0.00
169,1,7,255,0.00
170,1,7,255,0.00
171,1,7,255,0.00
172,1,7,255,0.00
173,1,7,255,0.00
174,1,7,255,0.00
175,1,7,255,0.00
176,1,7,255,0.00
177,1,7,255,0.00
178,1,7,255,0.00
179,1,7,255,0.00
180,1,7,255,0.00
181,1,7,255,0.00
182,1,7,255,0.00
183,1,7,255,0.00
184,1,7,255,0.00
185,1,7,255,0.00
186,1,7,255,0.00
187,1,7,255,0.00
188,1,7,255,0.00
189,1,7,255,0.00
190,1,7,255,0.00
191,1,7,255,0.00
192,1,7,255,0.00
193,1,7,255,0.00
194,1,7,255,0.00
195,1,7,255,0.00
196,1,7,255,0.00
197,1,7,255,0.00
198,1,7,255,0.00
199,1,7,255,0.00
200,1,7,255,0.00
201,1,7,255,0.00
202,1,7,255,0.00
203,1,7,255,0.00
204,1,7,255,0.00
205,1,7,255,0.00
206,1,7,255,0.00
207,1,7,255,0.00
208,1,7,255,0.00
209,1,7,255,0.00
210,1,7,255,0.00
211,1,7,255,0.00
212,1,7,255,0.00
213,1,7,255,0.00
214,1,7,255,0.00
215,1,7,255,0.00
216,1,7,255,0.00
217,1,7,255,0.00
218,1,7,255,0.00
219,1,7,255,0.00
220,1,7,255,0.00
221,1,7,255,0.00
222,1,7,255,0.00
223,1,7,255,0.00
224,1,7,255,0.00
225,1,7,255,0.00
226,1,7,255,0.00
227,1,7,255,0.00
228,1,7,255,0.00
