Header: 0
Map Number: 74
Object Count: 375
Type,PositionX,PositionY,PositionZ,AngleX,AngleY,AngleZ,Scale
39,80.94743,68.8982,1.645001,-90,-360,270,0.7400002
160,139.485,37.12086,-21.22331,0,0,0,1
129,173.1346,12.99753,8.394997,0,0,0,2.999998
129,166.8043,25.73844,11.14499,0,0,0,4.319997
129,173.2332,37.86195,8.394995,0,0,0,2.999998
164,183.9159,21.31332,1.695,0,0,100,1
160,183.4496,19.12634,1.695001,0,0,90,1
162,188.9652,25.14985,1.695001,0,0,270,1
96,185.6347,24.92896,1.635,0,0,90,2.139999
93,178.3457,28.73989,1.665002,0,0,84,1.02
93,177.9187,20.98636,1.645001,0,0,100,1.02
93,178.7744,17.61211,1.645003,0,0,110,1.02
94,179.213,19.0266,1.695003,0,0,100,1
94,179.9931,16.39502,1.695004,0,0,130,1
94,179.3984,30.18842,1.695002,0,0,60,1
129,182.3765,25.10268,2.544999,0,0,0,1.32
129,182.257,30.71552,2.544999,0,0,0,1.32
129,182.0808,19.77725,2.544999,0,0,0,1.32
133,185.1959,30.75549,1.685002,0,0,167,1.11
133,185.1538,20.1846,1.635001,0,0,220,1.13
159,179.964,25.0245,2.915001,-7,0,89,3.029998
122,179.8601,25.01835,1.495,0,0,90,2.359999
123,180.2727,24.82138,1.495002,0,0,91,2.099999
126,180.3805,25.06344,1.694998,0,0,90,1.939999
124,180.7681,24.78617,1.695002,0,0,89,2.119999
127,179.7184,24.92701,2.645001,0,0,85,1.739999
127,179.2401,24.99895,1.545,0,0,85,2.019999
127,179.1198,24.97118,-1.105001,0,0,85,2.779998
135,191.1534,21.82606,1.065001,0,0,0,1.36
79,191.2582,21.82785,4.095001,0,0,0,1.28
135,191.0555,27.91383,1.035001,0,0,0,1.36
79,191.0927,27.96407,4.195,0,0,0,1.28
136,190.8864,20.60672,1.714996,0,0,178,1
10,185.5,31.5,1.695001,0,0,0,1
136,181.6221,36.18661,1.695002,0,0,26,1.16
94,181.453,33.37109,1.695001,0,0,40,1
93,179.7901,32.34748,1.645004,0,0,55,1.02
146,184.0844,39.10382,1.694997,0,0,90,1.52
145,187.9273,42.91475,1.534999,0,0,0,1.42
145,187.8895,41.04312,1.534999,0,0,0,1.42
95,190.7832,41.76012,2.245,0,0,-64,0.8800001
135,185.2105,32.63993,1.304998,0,0,90,1.3
79,185.2196,32.6264,4.295003,0,0,0,0.7000003
146,183.1825,46.60137,1.694998,0,0,90,1.44
133,185.3358,36.31401,1.585,0,0,140,1.01
110,187.6435,41.0151,1.695,0,0,-2,1.42
146,183.1653,44.93864,1.694997,0,0,90,1.599999
146,191.9141,39.46058,1.694998,0,0,90,1.3
136,182.4104,50.86742,1.714994,0,0,92,1.22
146,190.7808,55.27433,1.694998,0,0,0,1.2
146,183.0971,54.51041,1.694997,0,0,0,1.2
135,186.9109,54.90004,1.694999,0,0,0,1
135,189.2601,57.88229,1.695001,0,0,0,1
129,180.4976,58.58587,3.644996,0,0,0,2.999998
138,188.6379,55.18846,1.695001,0,0,0,1
138,185.2105,54.89833,1.695001,0,0,0,1
79,188.6449,55.21373,5.445005,0,0,0,0.7600002
79,185.3923,54.792,5.445004,0,0,0,0.7600002
134,185.5006,53.54126,1.695,0,0,0,1.04
134,189.1426,53.8174,1.695,0,0,180,0.96
79,186.92,54.8761,4.045004,0,0,0,1.48
163,192.895,25.00178,1.695001,0,0,-270,1
96,194.6147,24.9237,1.655,0,0,90,2.139999
97,202.698,24.90882,1.695004,0,0,90,2.139999
75,193.5,30.5,1.695,0,0,0,1
135,201.9263,21.71952,-0.2149992,0,0,0,1.36
79,201.9283,21.62002,3.045001,0,0,0,1.28
135,205.5807,21.65517,-0.5149988,0,0,0,1.36
135,198.2007,21.76261,0.1850008,0,0,0,1.36
